Classes,Individuals,"label lang=""zh""",URI,"comment lang=""zh"""
工作模式,MCW,调制连续波形,radaro:RadarWorkMode/MCW,
工作模式,PulseDoppler,脉冲多普勒,radaro:RadarWorkMode/PulseDoppler,
频段,X,X波段,radaro:FrequencyBand/X,根据IEEE 521-2002标准，X波段是指频率在8-12 GHz的无线电波波段
频段,L,L波段,radaro:FrequencyBand/L,根据IEEE 521-2002标准，L波段是指频率在1-2 GHz的无线电波波段
频段,HF,,,
频段,VHF,,,
频段,A,,,
频段,B,,,
频段,C,,,
频段,D,,,
频段,E,,,
频段,F,,,
频段,G,,,
频段,H,,,
频段,I,,,
频段,J,,,
频段,K,,,
频段,L,,,
频段,M,,,
radaro:FacilityStatus,developing,研发中,radaro:FacilityStatus/developing,
radaro:FacilityStatus,serving,服役中,radaro:FacilityStatus/serving,
radaro:FacilityStatus,retired,已退役,radaro:FacilityStatus/retired,
radaro:PlaneType,helicopter,直升机,radaro:PlaneType/helicopter,
radaro:PlaneType,awacs,预警机,radaro:PlaneType/awacs,
radaro:PlaneType,spy,侦察机,radaro:PlaneType/spy,
radaro:RadarSystemComponent,Radar,雷达,,
radaro:RadarSystemComponent,,雷达抗干扰技术措施库,,
radaro:RadarSystemComponent,,积极的干扰信号源库,,
radaro:RadarSystemComponent,,电磁环境侦查接收机,,
radaro:RadarSystemComponent,,雷达对抗控制管理系统,,
radaro:RadarComponent,,天线伺服系统,,
radaro:RadarComponent,,接收器,,
radaro:RadarComponent,,信号处理机,,
radaro:RadarComponent,,数据处理机,,
radaro:RadarComponent,,雷达终端,,
radaro:RadarComponent,,定时器,,
radaro:RadarComponent,,主振频率源,,
radaro:RadarComponent,,频率合成器,,
天线类型-按工作性质,,发射天线,,
天线类型-按工作性质,,接收天线,,
天线类型-按原理,,线天线,,
天线类型-按原理,,口径面天线,,
天线类型-按形式,,平面阵列天线,,
天线类型-按形式,,反射面天线,,
天线类型-按波束扫描方式,,机械,,
天线类型-按波束扫描方式,,电子,,
天线类型-按辐射馈源,,线源,,
天线类型-按辐射馈源,,喇叭,,
天线类型-按辐射馈源,,缝隙,,
监视雷达,,两坐标监视雷达,,
监视雷达,,三坐标监视雷达,,
监视雷达,,低空补盲雷达,,
监视雷达,,目标指示与制导雷达,,
监视雷达,,敌我识别器与二次雷达,,
监视雷达,,气球载雷达,,
监视雷达,,双多基地雷达,,
跟踪雷达,,单脉冲精密跟踪雷达,,
跟踪雷达,,相控阵跟踪测量雷达,,
跟踪雷达,,炮位侦查与校射雷达,,
跟踪雷达,,连续波跟踪测量雷达,,
机载雷达,,脉冲多普勒雷达,,
机载雷达,,机载预警雷达,,
机载雷达,,机载火控雷达,,
机载雷达,,机载战场侦查雷达,,
机载雷达,,直升机机载雷达,,
机载雷达,,无人机机载雷达,,
超视距雷达,,高频天波超视距雷达,,
超视距雷达,,高频地波超视距雷达,,
超视距雷达,,微波超视距雷达,,
合成孔径雷达,,机载合成孔径成像雷达,,
合成孔径雷达,,星载合成孔径成像雷达,,
合成孔径雷达,,SAR/GMTI雷达,,
合成孔径雷达,,干涉合成孔径雷达,,
合成孔径雷达,,逆合成孔径雷达,,
弹道导弹防御雷达,,弹道导弹预警雷达,,
弹道导弹防御雷达,,反导系统制导雷达,,
弹道导弹防御雷达,,指令制导雷达,,
弹道导弹防御雷达,,复合制导雷达,,
弹道导弹防御雷达,,被动制导雷达,,
民用雷达,,气象雷达,,
民用雷达,,空中交通管制雷达,,
民用雷达,,港口交通管制雷达,,
民用雷达,,遥感成像雷达,,
民用雷达,,激光雷达,,
